1,5,2,4,512
2,8,3,6,1024
3,12,5,8,2048
4,4,1,3,256
5,15,0,0,768
6,7,2,5,1024
7,10,4,6,1536
8,6,1,4,512
9,20,5,10,4096
10,9,3,7,2048
11,3,1,2,256
12,14,6,9,3072
13,11,2,5,1024
14,18,4,12,4096
15,5,0,0,512
16,13,3,8,2048
17,7,2,6,1024
18,16,5,10,3072
19,2,1,1,128
20,25,6,15,8192
21,8,2,4,768
22,6,1,3,512
23,19,4,11,4096
24,10,3,7,1536
25,4,0,0,256
26,17,5,9,3072
27,9,2,5,1024
28,21,7,14,6144
29,11,3,6,2048
30,5,1,2,512
31,14,4,8,2048
32,7,2,4,1024
33,23,6,13,8192
34,12,3,7,1536
35,6,0,0,512
36,18,5,10,4096
37,8,2,5,1024
38,15,4,9,3072
39,3,1,2,256
40,20,6,12,6144
